2.9603 	WARNING 	Speech-to-text recognition module not available (use command `pip install SpeechRecognition` to get it. Transcription will be unavailable.
4.5846 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
13.8126 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
16.8797 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F86D1A2F60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F86D209438>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.8809 	EXP 	window1: mouseVisible = True
16.8811 	EXP 	window1: recordFrameIntervals = False
17.0406 	EXP 	window1: recordFrameIntervals = True
17.2237 	EXP 	window1: recordFrameIntervals = False
19.3269 	EXP 	Created instruction_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='instruction_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
19.3302 	EXP 	Created fix_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='fix_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
19.3314 	EXP 	Created trial_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='trial_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
19.3327 	EXP 	Created feedback_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='feedback_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
19.3680 	EXP 	Created thanks_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='thanks_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Спасибо за участие в эксперименте!', units='height', win=Window(...), wrapWidth=1)
19.4220 	EXP 	instruction_text: autoDraw = True
21.0238 	DATA 	Keypress: return
24.7145 	DATA 	Keypress: return
25.6582 	DATA 	Keypress: return
26.3913 	DATA 	Keypress: return
26.8723 	DATA 	Keypress: return
27.2762 	DATA 	Keypress: return
28.0434 	DATA 	Keypress: space
28.3818 	DATA 	Keypress: return
28.7058 	DATA 	Keypress: return
28.9232 	DATA 	Keypress: return
29.1133 	DATA 	Keypress: return
29.3491 	DATA 	Keypress: n
29.3939 	DATA 	Keypress: return
29.7829 	DATA 	Keypress: space
29.9852 	DATA 	Keypress: space
29.9865 	DATA 	Keypress: return
30.1858 	DATA 	Keypress: space
30.1864 	DATA 	Keypress: return
30.3775 	DATA 	Keypress: space
30.3957 	DATA 	Keypress: return
30.5918 	DATA 	Keypress: space
30.5921 	DATA 	Keypress: return
31.5475 	DATA 	Keypress: return
31.7270 	DATA 	Keypress: return
31.8590 	DATA 	Keypress: return
32.0375 	DATA 	Keypress: return
32.1821 	DATA 	Keypress: return
32.3670 	DATA 	Keypress: return
32.5317 	DATA 	Keypress: return
32.6326 	DATA 	Keypress: return
32.7864 	DATA 	Keypress: return
33.1150 	DATA 	Keypress: space
33.2990 	DATA 	Keypress: return
33.4846 	DATA 	Keypress: space
33.5962 	DATA 	Keypress: return
33.7495 	DATA 	Keypress: space
33.8199 	DATA 	Keypress: return
33.9626 	DATA 	Keypress: space
34.0310 	DATA 	Keypress: return
34.1604 	DATA 	Keypress: space
34.1774 	DATA 	Keypress: return
34.6795 	DATA 	Keypress: escape
34.9160 	EXP 	window1: mouseVisible = True
